full_name,id,name,is_fork,owner,owner_url,repo_url,stars,forks,watchers,language,description,open_issues,license_name,topics,default_branch,pushed_at,created_at,updated_at
akazwz/openchat-monorepo,942635105,openchat-monorepo,False,akazwz,https://github.com/akazwz,https://github.com/akazwz/openchat-monorepo,350,31,350,TypeScript,一个现代化的全栈 AI Chatbot 应用，使用 React 和 Cloudflare Workers 结合 Connect RPC 构建，通过 Tauri 支持 Web、移动 App 和桌面端,0,,"cloudflare, cloudflare-workers, connectrpc, react, react-router, tauri",main,2025-03-05 13:30:50+00:00,2025-03-04 12:24:20+00:00,2025-03-05 21:27:26+00:00
cognitivecomputations/OpenChatML,787128231,OpenChatML,False,cognitivecomputations,https://github.com/cognitivecomputations,https://github.com/cognitivecomputations/OpenChatML,152,9,152,,,6,,,main,2024-07-15 21:23:42+00:00,2024-04-16 00:01:50+00:00,2025-02-11 22:27:50+00:00
akazwz/openchat-go,889458772,openchat-go,False,akazwz,https://github.com/akazwz,https://github.com/akazwz/openchat-go,51,11,51,Go,为开发者提供一个简单易用的后端学习示例，能够快速使用Golang开发并集成 AI 功能,0,,,main,2025-02-15 02:28:48+00:00,2024-11-16 12:46:44+00:00,2025-03-04 01:32:03+00:00
akazwz/openchat-web,891356854,openchat-web,False,akazwz,https://github.com/akazwz,https://github.com/akazwz/openchat-web,17,5,17,TypeScript,openchat-web是一个基于react router v7、chakra-ui、tanstack query、ky、zod的前端AI Chatbot项目。,0,,,main,2024-11-25 06:27:55+00:00,2024-11-20 07:30:07+00:00,2025-03-04 05:52:21+00:00
the-laziest-coder/galxe-aio,752335930,galxe-aio,False,the-laziest-coder,https://github.com/the-laziest-coder,https://github.com/the-laziest-coder/galxe-aio,262,132,262,Python,,0,,,main,2025-01-29 14:19:14+00:00,2024-02-03 16:59:35+00:00,2025-02-28 02:18:22+00:00
Galxe/protocol-whitepaper,683902141,protocol-whitepaper,False,Galxe,https://github.com/Galxe,https://github.com/Galxe/protocol-whitepaper,120,39,120,,,0,MIT License,,main,2024-04-10 03:10:26+00:00,2023-08-28 02:57:55+00:00,2025-01-19 11:00:02+00:00
Galxe/galxe-token-list,709192932,galxe-token-list,False,Galxe,https://github.com/Galxe,https://github.com/Galxe/galxe-token-list,34,14,34,,This repo contains the default token list used in Galxe products.,1,,token,main,2025-01-30 13:42:37+00:00,2023-10-24 08:04:35+00:00,2025-02-28 19:11:08+00:00
Kunsect/galxe-task-automation,820734289,galxe-task-automation,False,Kunsect,https://github.com/Kunsect,https://github.com/Kunsect/galxe-task-automation,30,12,30,TypeScript,Galxe task automation script for streamlining and simplifying repetitive processes.,1,,,main,2024-08-01 05:59:32+00:00,2024-06-27 04:40:07+00:00,2025-02-10 05:47:54+00:00
Galxe/identity-protocol,799033228,identity-protocol,False,Galxe,https://github.com/Galxe,https://github.com/Galxe/identity-protocol,18,7,18,Circom,Monorepo of Galxe Identity Protocol,1,MIT License,"self-sovereign-identity, zero-knowledge-proof",main,2024-10-04 00:04:29+00:00,2024-05-11 02:21:49+00:00,2025-02-27 05:14:15+00:00
Galxe/grevm,872324816,grevm,False,Galxe,https://github.com/Galxe,https://github.com/Galxe/grevm,17,9,17,Rust,Parallel EVM inspired by BlockSTM,9,,"evm, parallel-evm, reth",main,2025-03-04 07:51:11+00:00,2024-10-14 08:41:37+00:00,2025-03-04 07:51:14+00:00
thevahidal/soul,546207454,soul,False,thevahidal,https://github.com/thevahidal,https://github.com/thevahidal/soul,1565,54,1565,JavaScript,🕉 Soul | Automatic SQLite RESTful  and realtime API server | Build CRUD APIs in seconds!,8,MIT License,"nodejs, realtime, rest, sqlite, sqlite3",main,2024-12-06 14:46:10+00:00,2022-10-05 18:00:26+00:00,2025-03-05 19:00:07+00:00
TLeonardUK/ds3os,393738602,ds3os,False,TLeonardUK,https://github.com/TLeonardUK,https://github.com/TLeonardUK/ds3os,725,115,725,CMake,Dark Souls - Open Server,13,MIT License,,main,2024-08-14 10:03:27+00:00,2021-08-07 16:44:20+00:00,2025-03-05 21:26:52+00:00
latorc/MahjongCopilot,778050757,MahjongCopilot,False,latorc,https://github.com/latorc,https://github.com/latorc/MahjongCopilot,565,67,565,Python,雀魂游戏实时 AI 指导 / In-game step-by-step AI Assistant for Maj-soul,20,GNU General Public License v3.0,"mahjong-ai, majsoul",main,2024-09-19 16:37:04+00:00,2024-03-27 01:28:26+00:00,2025-03-05 12:47:59+00:00
soulsmods/DSMapStudio,440009017,DSMapStudio,False,soulsmods,https://github.com/soulsmods,https://github.com/soulsmods/DSMapStudio,546,64,546,C#,"A standalone map/level editor for Demon's Souls, Dark Souls 1/2/3, Bloodborne, Sekiro, and Elden Ring.",34,MIT License,,master,2024-12-08 20:55:45+00:00,2021-12-20 01:27:12+00:00,2025-03-05 06:19:56+00:00
catprisbrey/Cats-Godot4-Modular-Souls-like-Template,727268932,Cats-Godot4-Modular-Souls-like-Template,False,catprisbrey,https://github.com/catprisbrey,https://github.com/catprisbrey/Cats-Godot4-Modular-Souls-like-Template,311,47,311,GDScript,Cat's loosely coupled souls-like game template/asset pack for the Godot Engine.,2,The Unlicense,"godot, souls-like",main,2025-02-26 05:42:56+00:00,2023-12-04 14:25:31+00:00,2025-03-05 02:15:26+00:00
Turing-Project/Black-Myth-Wukong-AI,827822897,Black-Myth-Wukong-AI,False,Turing-Project,https://github.com/Turing-Project,https://github.com/Turing-Project/Black-Myth-Wukong-AI,304,56,304,Python,AI demo for playing ARPG/Soul-like game with RL frame,6,Apache License 2.0,,main,2024-09-24 14:10:01+00:00,2024-07-12 13:00:34+00:00,2025-03-04 17:02:28+00:00
yihong0618/iBeats,375876443,iBeats,False,yihong0618,https://github.com/yihong0618,https://github.com/yihong0618/iBeats,299,64,299,Python,"Apple Watch 心率数据采集 - Your Soul, Your Beats!",4,MIT License,,main,2024-10-25 09:17:53+00:00,2021-06-11 01:54:09+00:00,2025-02-18 09:15:36+00:00
wanteddev/wanted-sans,619461541,wanted-sans,False,wanteddev,https://github.com/wanteddev,https://github.com/wanteddev/wanted-sans,279,5,279,CSS,"곧으면서도 유연한 산세리프 글꼴 | A Sans-serif font; Geometric with a heart, Humanist with a soul",3,SIL Open Font License 1.1,"font, fonts, typeface",main,2024-05-27 12:07:41+00:00,2023-03-27 07:30:58+00:00,2025-03-05 11:52:58+00:00
vawser/Smithbox,740175107,Smithbox,False,vawser,https://github.com/vawser,https://github.com/vawser/Smithbox,227,25,227,C#,"Smithbox is a modding tool for Elden Ring, Armored Core VI, Sekiro, Dark Souls 3, Dark Souls 2, Dark Souls, Bloodborne and Demon's Souls.",16,MIT License,,main,2025-03-04 21:28:54+00:00,2024-01-07 18:32:47+00:00,2025-03-05 06:19:44+00:00
Gh0stBlade/KAIN2,491554423,KAIN2,False,Gh0stBlade,https://github.com/Gh0stBlade,https://github.com/Gh0stBlade/KAIN2,162,13,162,C,Legacy of Kain: Soul Reaver Decompile,4,The Unlicense,"cdcengine, emulator, engine, foundation, game, kain, legacy, of, opengl, reaver, soul, windows",main,2024-04-24 17:24:19+00:00,2022-05-12 14:45:56+00:00,2024-12-30 19:05:55+00:00
The-Grand-Archives/Dark-Souls-III-CT-TGA,350572113,Dark-Souls-III-CT-TGA,False,The-Grand-Archives,https://github.com/The-Grand-Archives,https://github.com/The-Grand-Archives/Dark-Souls-III-CT-TGA,135,17,135,C, Dark Souls III Cheat Engine table maintained by The Grand Archives. ,6,,"darksouls3, dark-souls-iii, cheatengine, cheat-engine, cheat-engine-tables, cheat-table, cheat-tables",main,2024-07-16 09:30:08+00:00,2021-03-23 03:51:35+00:00,2025-03-01 00:52:40+00:00
amacati/SoulsGym,461495407,SoulsGym,False,amacati,https://github.com/amacati,https://github.com/amacati/SoulsGym,122,11,122,Python,"Gymnasium extension for DarkSouls III, Elden Ring, and other Souls games",1,MIT License,,master,2024-10-20 12:11:25+00:00,2022-02-20 13:26:01+00:00,2025-02-07 21:02:11+00:00
Grimrukh/soulstruct-blender,551476511,soulstruct-blender,False,Grimrukh,https://github.com/Grimrukh,https://github.com/Grimrukh/soulstruct-blender,109,7,109,Python,"Blender plugins for FromSoft games, via `soulstruct`.",31,,,main,2025-02-20 04:15:37+00:00,2022-10-14 13:24:18+00:00,2025-03-03 16:15:00+00:00
enteraname74/SoulSearching,625938053,SoulSearching,False,enteraname74,https://github.com/enteraname74,https://github.com/enteraname74/SoulSearching,89,5,89,Kotlin,A music player for Android and Desktop using Compose Multiplatform.,2,GNU General Public License v3.0,"android, android-application, kotlin, kotlin-android, kotlin-language, music, music-player, offline-music-player, room-database, stateflow-android, jetpack-compose, clean-architecture, compose-desktop, compose-multiplatform, jaudiotagger, kmp, exposed-orm",master,2025-03-05 20:53:59+00:00,2023-04-10 12:53:20+00:00,2025-03-02 23:30:15+00:00
jofizcd/Soul-of-Waifu,686364338,Soul-of-Waifu,False,jofizcd,https://github.com/jofizcd,https://github.com/jofizcd/Soul-of-Waifu,61,7,61,Python,"If you've ever had the wish to talk to your AI Waifu using quality characters and voices for character voicing, then I suggest Soul of Waifu. Don't miss the opportunity to touch your dream!",1,MIT License,"ai, aichatbot, aigirlfriend, artificial-intelligence, characterai, chatbot, stt, tts, waifu, aiwaifu, aigirl, speech-to-speech, text-to-speech, speech-to-text",main,2024-12-02 17:07:49+00:00,2023-09-02 14:43:26+00:00,2025-03-03 00:47:35+00:00
bromeex/TheBereftSouls,864952702,TheBereftSouls,False,bromeex,https://github.com/bromeex,https://github.com/bromeex/TheBereftSouls,53,18,53,C#,Repository for the ultramodded modpack,11,"BSD 3-Clause ""New"" or ""Revised"" License",,main,2025-02-02 06:16:49+00:00,2024-09-29 15:55:08+00:00,2025-03-02 11:30:21+00:00
FrankvdStam/SoulSplitter,464126062,SoulSplitter,False,FrankvdStam,https://github.com/FrankvdStam,https://github.com/FrankvdStam/SoulSplitter,52,8,52,C#,A livesplit plugin for souls-games,1,GNU General Public License v3.0,"darksouls, darksouls2, darksouls3, elden-ring, eldenring, games, gaming, sekiro, sekiro-game, livesplit, darksouls-remastered, darksoulsremastered, armoredcore6",main,2025-02-22 11:03:28+00:00,2022-02-27 12:09:34+00:00,2025-03-01 15:19:30+00:00
soulgraph/soulscript-spec,908678448,soulscript-spec,False,soulgraph,https://github.com/soulgraph,https://github.com/soulgraph/soulscript-spec,47,6,47,TypeScript,Soulscript is a framework-agnostic standard for defining rich agent personalities that evolve over time.,3,MIT License,,main,2025-01-11 04:39:50+00:00,2024-12-26 17:10:51+00:00,2025-01-25 00:41:50+00:00
LordMaddog/DarkSouls-Like_CombatSystem-UE5,660830128,DarkSouls-Like_CombatSystem-UE5,False,LordMaddog,https://github.com/LordMaddog,https://github.com/LordMaddog/DarkSouls-Like_CombatSystem-UE5,36,17,36,C++,A Darksouls/Eldin ring inspired combat system for UE5,1,,,main,2024-12-13 21:15:08+00:00,2023-07-01 00:59:21+00:00,2025-01-03 14:14:57+00:00
mariumbacchus/Soulslike-Weaponry,601240139,Soulslike-Weaponry,False,mariumbacchus,https://github.com/mariumbacchus,https://github.com/mariumbacchus/Soulslike-Weaponry,34,13,34,Java,A minecraft mod that adds new bosses and legendary weapons,13,Creative Commons Zero v1.0 Universal,,1.20-1.20.1,2025-03-05 16:10:51+00:00,2023-02-13 16:51:22+00:00,2025-03-05 16:10:57+00:00
jtesta/souls_givifier,645091748,souls_givifier,False,jtesta,https://github.com/jtesta,https://github.com/jtesta/souls_givifier,30,7,30,JavaScript,"A save-game editor for Dark Souls Remastered, Dark Souls II: Scholar of the First Sin, Dark Souls III, and Elden Ring.  Grants many, many souls/runes so all stats can be maxed out.",2,GNU General Public License v3.0,"darksouls, eldenring, saveeditor",master,2024-12-05 18:46:29+00:00,2023-05-24 22:55:31+00:00,2025-03-02 22:57:58+00:00
fmil95/soul-re,731355729,soul-re,False,fmil95,https://github.com/fmil95,https://github.com/fmil95/soul-re,30,6,30,C,"Reverse-engineering project of the 1999 PlayStation game Legacy of Kain: Soul Reaver, from MIPS to C.",0,Creative Commons Zero v1.0 Universal,,main,2025-02-21 04:06:23+00:00,2023-12-13 22:37:36+00:00,2025-02-21 04:06:27+00:00
Jaammerr/Carv-BOT,784466988,Carv-BOT,False,Jaammerr,https://github.com/Jaammerr,https://github.com/Jaammerr/Carv-BOT,24,7,24,Python,Carv daily bot for auto minting SOUL and claiming rewards,0,,,1.0,2024-04-27 06:15:43+00:00,2024-04-09 22:59:10+00:00,2025-02-21 00:59:38+00:00
Apricot-S/majsoulrpa,723823396,majsoulrpa,False,Apricot-S,https://github.com/Apricot-S,https://github.com/Apricot-S/majsoulrpa,24,5,24,Python,A Robotic Process Automation (RPA) framework for Mahjong Soul (雀魂),4,Other,"mahjong, mahjong-soul, mahjongsoul, majsoul, python, rpa, automation, automation-framework, robotic-process-automation",main,2025-02-02 09:57:48+00:00,2023-11-26 21:18:07+00:00,2025-01-05 08:13:07+00:00
ceejbot/soulsy,664116039,soulsy,False,ceejbot,https://github.com/ceejbot,https://github.com/ceejbot/soulsy,19,7,19,Rust,A minimal Souls-like HUD for Skyrim AE & SE. SKSE plugin.,30,Other,"commonlibsse, rust, skse-plugin, skyrim",latest,2024-04-07 20:37:44+00:00,2023-07-09 00:45:41+00:00,2025-01-15 01:14:52+00:00
soulmachines/react-reference-ui-public,557524112,react-reference-ui-public,False,soulmachines,https://github.com/soulmachines,https://github.com/soulmachines/react-reference-ui-public,16,11,16,JavaScript,react based template for build a soul machines digital person experience,5,Apache License 2.0,,main,2024-08-01 10:28:34+00:00,2022-10-25 20:58:40+00:00,2024-11-28 09:28:23+00:00
ArsonAssassin/DSAP,866737527,DSAP,False,ArsonAssassin,https://github.com/ArsonAssassin,https://github.com/ArsonAssassin/DSAP,12,6,12,Python,Archipelago implementation for Dark Souls Remastered,6,MIT License,,main,2025-03-05 21:16:13+00:00,2024-10-02 19:31:08+00:00,2025-03-05 20:42:10+00:00
The12thAvenger/FbxImporter,505256676,FbxImporter,False,The12thAvenger,https://github.com/The12thAvenger,https://github.com/The12thAvenger/FbxImporter,11,5,11,C#,"Fbx to Flver importer for Dark Souls 3, Sekiro and Elden Ring which supports vertex deformed cloth meshes.",0,,,main,2024-07-12 13:08:55+00:00,2022-06-20 01:16:57+00:00,2025-02-26 07:43:18+00:00
terrarium-earth/Spirit,469567939,Spirit,False,terrarium-earth,https://github.com/terrarium-earth,https://github.com/terrarium-earth/Spirit,10,21,10,Java,A Spirit-ual continuation of the Soul Shards mod.,31,Other,"fabric-mod, minecraft, minecraft-forge, minecraft-mod",1.20.x,2024-07-08 13:28:06+00:00,2022-03-14 03:31:06+00:00,2024-01-11 02:48:35+00:00
TalentdOrg/the-great-hash-remover-amazon,900626427,the-great-hash-remover-amazon,False,TalentdOrg,https://github.com/TalentdOrg,https://github.com/TalentdOrg/the-great-hash-remover-amazon,10,41,10,C,"The Great Hash Removal Challenge! Welcome, brave souls! Join us in this epic quest to remove all `#` symbols from our codebase.  Remember, every `#` removed is a step closer to a world without comment-induced downtime!",4,,"amazon, dsa, fun",master,2025-01-09 17:11:41+00:00,2024-12-09 07:04:34+00:00,2025-01-09 17:11:45+00:00
christopheml/soulshape-journal,429978569,soulshape-journal,False,christopheml,https://github.com/christopheml,https://github.com/christopheml/soulshape-journal,8,14,8,Lua,Adds a tab in the Collections Journal to track your soulshape collection.,3,MIT License,"world-of-warcraft, world-of-warcraft-addon, lua",master,2024-09-29 21:58:26+00:00,2021-11-20 01:19:26+00:00,2024-09-29 21:57:33+00:00
war100ck/BnS-Api-Server,867733782,BnS-Api-Server,False,war100ck,https://github.com/war100ck,https://github.com/war100ck/BnS-Api-Server,8,10,8,EJS,"The project is an API server for a private Blade & Soul game server, managing user registration, authentication, character profiles, and virtual currency transactions.",0,Other,,main,2025-01-27 10:19:08+00:00,2024-10-04 16:03:08+00:00,2025-01-27 17:44:20+00:00
war100ck/blade-soul-game-launcher,864888445,blade-soul-game-launcher,False,war100ck,https://github.com/war100ck,https://github.com/war100ck/blade-soul-game-launcher,7,8,7,JavaScript,"This project is a launcher for the game Blade & Soul, designed for connecting to a private game server. The launcher provides users with an intuitive interface for registration, login, and server connection settings.",3,Other,,main,2024-12-10 11:11:49+00:00,2024-09-29 12:43:38+00:00,2025-01-14 09:30:26+00:00
war100ck/Server-Api-BnS-2017,894069987,Server-Api-BnS-2017,False,war100ck,https://github.com/war100ck,https://github.com/war100ck/Server-Api-BnS-2017,6,7,6,EJS,"This project is an API server for a private **Blade & Soul** game server, managing user registration, authentication, character profiles, and virtual currency transactions. It is specifically designed for the *2017 version* of the game.",0,Other,,main,2025-02-17 14:33:12+00:00,2024-11-25 17:40:44+00:00,2025-02-17 13:51:33+00:00
Crystal-Nest/soul-fire-d,526548009,soul-fire-d,False,Crystal-Nest,https://github.com/Crystal-Nest,https://github.com/Crystal-Nest/soul-fire-d,5,6,5,Java,Let Soul Fire burn!,5,GNU General Public License v3.0,"minecraft, minecraft-fabric-mod, minecraft-forge-mod, minecraft-mod, minecraft-neoforge-mod, minecraft-api, mod-api",1.21.4,2025-02-28 21:50:14+00:00,2022-08-19 09:42:10+00:00,2025-02-28 21:47:41+00:00
Phineas/lanyard,346433598,lanyard,False,Phineas,https://github.com/Phineas,https://github.com/Phineas/lanyard,1059,155,1059,Elixir,🏷️   Expose your Discord presence and activities to a RESTful API and WebSocket in less than 10 seconds,11,MIT License,"discord, discord-rpc, elixir",main,2025-02-27 18:23:19+00:00,2021-03-10 17:13:33+00:00,2025-03-05 05:59:05+00:00
cnrad/lanyard-profile-readme,377680492,lanyard-profile-readme,False,cnrad,https://github.com/cnrad,https://github.com/cnrad/lanyard-profile-readme,766,107,766,TypeScript,🏷️ Discord Presence in your GitHub Profile,4,,,main,2025-02-03 07:18:49+00:00,2021-06-17 02:18:44+00:00,2025-03-05 06:59:20+00:00
alii/use-lanyard,347369947,use-lanyard,False,alii,https://github.com/alii,https://github.com/alii/use-lanyard,84,9,84,TypeScript,React hook for Lanyard for tracking your Discord presence.,0,MIT License,"discord, presence, react, hook",main,2024-09-05 17:00:13+00:00,2021-03-13 12:52:38+00:00,2025-01-08 14:30:35+00:00
eggsy/lanyard-web,516546725,lanyard-web,False,eggsy,https://github.com/eggsy,https://github.com/eggsy/lanyard-web,71,10,71,Vue,🏷 Landing page and API documentation concept for Lanyard API.,0,MIT License,"lanyard, nuxt3, vue, website",main,2024-08-12 10:51:20+00:00,2022-07-21 23:12:55+00:00,2025-01-10 13:19:06+00:00
eggsy/lanyard-visualizer,371532942,lanyard-visualizer,False,eggsy,https://github.com/eggsy,https://github.com/eggsy/lanyard-visualizer,67,11,67,Vue,⚡ A beautiful Lanyard API visualizer tool to display your Discord status online! Works with Spotify and all RPCs!,0,MIT License,"vue, lanyard, vite, tailwindcss, vue3",main,2024-08-12 18:06:45+00:00,2021-05-28 00:02:44+00:00,2025-03-03 16:59:03+00:00
barbarbar338/react-use-lanyard,366025369,react-use-lanyard,False,barbarbar338,https://github.com/barbarbar338,https://github.com/barbarbar338/react-use-lanyard,62,6,62,TypeScript,🚀 Use Lanyard API easily in your React app!,0,GNU General Public License v3.0,"ts, typescript, react, react-ts, react-typescript, react-hook, hook, hooks, react-hooks, lanyard, websocket, ws",main,2024-12-06 03:56:47+00:00,2021-05-10 11:52:33+00:00,2025-01-11 03:29:09+00:00
CompeyDev/discord-status-action,473567167,discord-status-action,False,CompeyDev,https://github.com/CompeyDev,https://github.com/CompeyDev/discord-status-action,18,6,18,JavaScript,GitHub action to update your discord status in a file using the Lanyard API.,0,MIT License,"api, discord, status, lanyard, git",main,2024-08-04 11:09:02+00:00,2022-03-24 10:58:03+00:00,2024-11-29 15:13:45+00:00
befoulers/Kalash,713603813,Kalash,False,befoulers,https://github.com/befoulers,https://github.com/befoulers/Kalash,17,5,17,HTML,website kalash - lanyard,0,,,main,2024-05-13 15:50:07+00:00,2023-11-02 21:30:09+00:00,2025-02-21 15:57:43+00:00
mertushka/personal-website,565973573,personal-website,False,mertushka,https://github.com/mertushka,https://github.com/mertushka/personal-website,6,7,6,JavaScript,⚡ My personal website coded with NextJS 14 and real-time Discord Status with Lanyard!,0,MIT License,"nextjs, personal-website, css, javascript, next, nextjs14",main,2024-10-23 23:08:30+00:00,2022-11-14 18:00:35+00:00,2025-01-05 05:53:13+00:00
enzonotario/esjs-argentina-datos-api,735697671,esjs-argentina-datos-api,False,enzonotario,https://github.com/enzonotario,https://github.com/enzonotario/esjs-argentina-datos-api,76,7,76,TypeScript,API pública para diferentes datos de Argentina,0,MIT License,"api, argentina, datos, esjs, argentinadatos, argentina-data, static-api",main,2025-03-05 00:59:30+00:00,2023-12-25 21:36:32+00:00,2025-03-05 00:59:37+00:00
Argent-Matter/gcyr,645289359,gcyr,False,Argent-Matter,https://github.com/Argent-Matter,https://github.com/Argent-Matter/gcyr,25,11,25,Java,Gregicality Rocketry,13,GNU Lesser General Public License v3.0,,1.20.1,2024-12-30 10:44:06+00:00,2023-05-25 10:26:18+00:00,2024-12-30 10:42:45+00:00
